2346,4,on,off
26,905,96.2,44,1
26.7,905,98,40,1
26.7,927,97.8,34,1
26.8,946,87.9,35,1
26.9,952,86.7,37,1
27,960,86.4,40,1
27,968,86.4,40,1
27,974,85.1,40,1
27.1,989,83.4,38,1
27,989,80.4,35,1
27,992,83.2,30,1
27,994,82.3,26,1
27,993,82.5,22,1
26.9,998,82.6,20,1
26.8,1002,82.6,20,1
26.8,1002,82.3,18,1
26.6,1000,83.6,17,1
26.7,1003,85.2,17,1
26.7,1000,85.1,17,1
26.6,998,86.5,16,1
0,1003,0,16,1
26.7,997,87.6,17,1
26.7,1001,87.6,16,1
26.7,1006,88.4,15,1
26.7,1011,88.2,14,1
26.6,1011,85.8,14,1
26.3,941,88.1,15,1
0,937,0,14,1
26.7,934,94.8,13,1
26.8,936,95.7,12,1
26.8,939,95.8,12,1
26.8,938,96.9,11,1
26.8,942,98.1,10,1
26.9,944,98.6,10,1
26.9,942,99.3,7,1
26.9,940,99.9,6,1
26.9,944,99.9,7,1
26.9,941,99.9,6,1
26.8,941,99.9,6,1
26.8,945,99.9,6,1
26.8,941,99.9,5,1
26.8,943,99.9,5,1
0,941,0,5,1
26.8,934,99.9,5,1
26.8,938,99.9,4,1
26.8,932,99.9,4,1
26.8,931,99.9,9,1
26.8,931,99.9,9,1
26.8,927,99.9,9,1
26.8,931,99.9,10,1
26.8,933,99.9,10,1
26.8,938,99.9,10,1
26.7,938,99.9,10,1
25.6,1008,90.6,11,0
25.5,970,99.9,10,0
26,940,99.9,10,1
26.1,940,99.9,10,1
26.1,939,99.9,10,1
0,964,0,5,1
0,952,0,4,1
0,932,0,3,1
25.8,931,99.9,3,0
25.8,931,99.9,3,0
25.6,934,99.9,3,0
25.6,937,99.9,3,0
25.6,940,99.9,3,0
25.5,938,99.9,4,0
25.5,940,99.9,4,0
25.5,937,99.9,12,0
25.5,928,99.9,17,0
25.5,928,99.9,17,0
0,928,0,17,1
24.8,986,93.9,36,0
25.5,941,99.9,45,0
0,938,0,61,1
25.8,940,99.9,63,0
25.9,940,99.9,64,0
25.9,945,99.9,62,0
26.1,945,99.9,62,1
26.2,944,99.9,58,1
26.2,940,99.9,57,1
26.3,946,99.9,58,1
0,953,0,59,1
26.3,953,99.9,57,1
26.2,952,99.9,56,1
26.3,945,99.9,55,1
26.3,946,99.9,54,1
26.3,946,99.9,53,1
26.4,948,99.9,53,1
26.2,955,99.9,50,1
26.4,950,99.9,50,1
0,951,0,50,1
26.4,952,99.9,48,1
26.5,950,99.9,46,1
26.5,951,99.9,45,1
26.5,1004,92.2,37,1
0,1014,0,32,1
26.3,1021,90.6,30,1
26.3,1024,90.9,24,1
26.3,953,99.9,10,1
26.3,954,99.9,10,1
26.1,974,99.9,10,1
26.1,966,99.9,10,1
26.1,966,99.9,10,1
28.3,962,99.9,10,1
26.1,958,99.9,10,1
26.1,960,99.9,10,1
26.1,964,99.9,10,1
0,956,0,10,1
26.2,958,99.9,10,1
26.2,958,99.9,10,1
26.2,960,99.9,10,1
26.2,958,99.9,10,1
20.8,957,99.9,10,0
26.2,956,99.9,9,1
26.2,962,99.9,9,1
26.3,964,99.9,9,1
26.3,962,99.9,9,1
26.2,963,99.9,9,1
0,964,0,10,1
26.2,962,99.9,10,1
0,956,0,10,1
25.7,961,99.9,10,0
0,960,0,10,1
22.4,956,99.9,10,0
26.2,963,99.9,10,1
26.1,961,99.9,10,1
26.1,954,99.9,10,1
26.1,953,99.9,10,1
26.1,955,99.9,10,1
26.1,955,99.9,10,1
